token,Label-Vinicius,Label-other-group,Label-Feida
Yoshua,O,O,O
Bengio,O,O,O
OC,O,O,O
FRS,O,O,O
FRSC,O,O,O
(born,O,O,O
March,B-Date,B,B
5,I-Date,I,I
1964]),I-Date,I,I
is,O,O,O
a,O,O,O
Canadian,O,O,O
computer,O,O,O
"scientist,",O,O,O
most,O,O,O
noted,O,O,O
for,O,O,O
his,O,O,O
work,O,O,O
on,O,O,O
artificial,O,O,O
neural,O,O,O
networks,O,O,O
and,O,O,O
deep,O,O,O
learning.,O,O,O
He,O,O,O
is,O,O,O
a,O,O,O
professor,O,O,O
at,O,O,O
the,O,O,O
Department,O,O,O
of,O,O,O
Computer,O,O,O
Science,O,O,O
and,O,O,O
Operations,O,O,O
Research,O,O,O
at,O,O,O
the,O,O,O
Université,O,O,O
de,O,O,O
Montréal,O,O,O
and,O,O,O
scientific,O,O,O
director,O,O,O
of,O,O,O
the,O,O,O
Montreal,O,O,O
Institute,O,O,O
for,O,O,O
Learning,O,O,O
Algorithms,O,O,O
(MILA).,O,O,O
Bengio,O,O,O
received,O,O,O
the,O,O,O
2018,B-Date,B,B
ACM,O,O,O
A.M.,O,O,O
Turing,O,O,O
Award,O,O,O
(often,O,O,O
referred,O,O,O
to,O,O,O
as,O,O,O
the,O,O,O
"""Nobel",O,O,O
Prize,O,O,O
of,O,O,O
"Computing""),",O,O,O
together,O,O,O
with,O,O,O
Geoffrey,O,O,O
Hinton,O,O,O
and,O,O,O
Yann,O,O,O
"LeCun,",O,O,O
for,O,O,O
their,O,O,O
work,O,O,O
on,O,O,O
deep,O,O,O
learning.,O,O,O
"Bengio,",O,O,O
"Hinton,",O,O,O
and,O,O,O
"LeCun,",O,O,O
are,O,O,O
sometimes,O,O,O
referred,O,O,O
to,O,O,O
as,O,O,O
the,O,O,O
"""Godfathers",O,O,O
of,O,O,O
"AI""",O,O,O
and,O,O,O
"""Godfathers",O,O,O
of,O,O,O
Deep,O,O,O
"Learning"".",O,O,O
As,O,O,O
of,O,O,O
May,B-Date,B,B
2023,I-Date,I,I
he,O,O,O
is,O,O,O
the,O,O,O
most,O,O,O
cited,O,O,O
computer,O,O,O
scientist,O,O,O
by,O,O,O
h-index.,O,O,O
Bengio,O,O,O
was,O,O,O
born,O,O,O
in,O,O,O
France,O,O,O
to,O,O,O
a,O,O,O
Jewish,O,O,O
family,O,O,O
who,O,O,O
immigrated,O,O,O
to,O,O,O
France,O,O,O
from,O,O,O
"Morocco,",O,O,O
and,O,O,O
then,O,O,O
immigrated,O,O,O
again,O,O,O
to,O,O,O
Canada.,O,O,O
He,O,O,O
received,O,O,O
his,O,O,O
Bachelor,O,O,O
of,O,O,O
Science,O,O,O
degree,O,O,O
(electrical,O,O,O
"engineering),",O,O,O
MSc,O,O,O
(computer,O,O,O
science),O,O,O
and,O,O,O
PhD,O,O,O
(computer,O,O,O
science),O,O,O
from,O,O,O
McGill,O,O,O
University.,O,O,O
The,O,O,O
Bengio,O,O,O
brothers,O,O,O
lived,O,O,O
in,O,O,O
Morocco,O,O,O
for,O,O,O
a,B-Date,O,O
year,I-Date,B,O
during,O,O,O
their,O,O,O
father's,O,O,O
military,O,O,O
service,O,O,O
there.,O,O,O
His,O,O,O
"father,",O,O,O
Carlo,O,O,O
"Bengio,",O,O,O
was,O,O,O
a,O,O,O
pharmacist,O,O,O
who,O,O,O
wrote,O,O,O
theatre,O,O,O
pieces,O,O,O
and,O,O,O
ran,O,O,O
a,O,O,O
Sephardic,O,O,O
theatrical,O,O,O
troupe,O,O,O
in,O,O,O
Montreal,O,O,O
that,O,O,O
played,O,O,O
Judeo-Arabic,O,O,O
pieces.,O,O,O
His,O,O,O
"mother,",O,O,O
Célia,O,O,O
"Moreno,",O,O,O
is,O,O,O
also,O,O,O
an,O,O,O
artist,O,O,O
who,O,O,O
played,O,O,O
in,O,O,O
one,O,O,O
of,O,O,O
the,O,O,O
major,O,O,O
theatre,O,O,O
scenes,O,O,O
of,O,O,O
Morocco,O,O,O
that,O,O,O
was,O,O,O
run,O,O,O
by,O,O,O
Tayeb,O,O,O
Seddiki,O,O,O
in,O,O,O
the,O,O,O
1970s.,B-Date,B,B
Career,O,O,O
and,O,O,O
research.,O,O,O
After,O,O,O
his,O,O,O
"PhD,",O,O,O
Bengio,O,O,O
was,O,O,O
a,O,O,O
postdoctoral,O,O,O
fellow,O,O,O
at,O,O,O
MIT,O,O,O
(supervised,O,O,O
by,O,O,O
Michael,O,O,O
I.,O,O,O
Jordan),O,O,O
and,O,O,O
AT&T,O,O,O
Bell,O,O,O
Labs.,O,O,O
Bengio,O,O,O
has,O,O,O
been,O,O,O
a,O,O,O
faculty,O,O,O
member,O,O,O
at,O,O,O
the,O,O,O
Université,O,O,O
de,O,O,O
Montréal,O,O,O
since,O,O,O
1993,B-Date,B,B
and,O,O,O
is,O,O,O
co-director,O,O,O
of,O,O,O
the,O,O,O
Learning,O,O,O
in,O,O,O
Machines,O,O,O
&,O,O,O
Brains,O,O,O
program,O,O,O
at,O,O,O
the,O,O,O
Canadian,O,O,O
Institute,O,O,O
for,O,O,O
Advanced,O,O,O
Research.,O,O,O
Along,O,O,O
with,O,O,O
Geoffrey,O,O,O
Hinton,O,O,O
and,O,O,O
Yann,O,O,O
"LeCun,",O,O,O
Bengio,O,O,O
is,O,O,O
considered,O,O,O
by,O,O,O
Cade,O,O,O
Metz,O,O,O
as,O,O,O
one,O,O,O
of,O,O,O
the,O,O,O
three,O,O,O
people,O,O,O
most,O,O,O
responsible,O,O,O
for,O,O,O
the,O,O,O
advancement,O,O,O
of,O,O,O
deep,O,O,O
learning,O,O,O
during,O,O,O
the,O,O,O
1990s,B-Date,B,B
and,O,I,I
2000s.,B-Date,I,I
Among,O,O,O
the,O,O,O
computer,O,O,O
scientists,O,O,O
with,O,O,O
an,O,O,O
h-index,O,O,O
of,O,O,O
at,O,O,O
least,O,O,O
100,O,O,O
Bengio,O,O,O
was,O,O,O
as,O,O,O
of,O,O,O
2018,B-Date,B,B
the,O,O,O
one,O,O,O
with,O,O,O
the,O,O,O
most,O,O,O
recent,O,O,O
citations,O,O,O
per,O,O,O
"day,",O,O,O
according,O,O,O
to,O,O,O
MILA.,O,O,O
As,O,O,O
of,O,O,O
December,B-Date,B,B
2022,I-Date,I,I
he,O,O,O
had,O,O,O
the,O,O,O
2nd,O,O,O
highest,O,O,O
Discipline,O,O,O
H-index,O,O,O
(D-index),O,O,O
in,O,O,O
computer,O,O,O
science.,O,O,O
Thanks,O,O,O
to,O,O,O
a,O,O,O
2019,B-Date,B,B
article,O,O,O
on,O,O,O
a,O,O,O
novel,O,O,O
RNN,O,O,O
"architecture,",O,O,O
Bengio,O,O,O
has,O,O,O
an,O,O,O
Erdős,O,O,O
number,O,O,O
of,O,O,O
3,O,O,O
Views,O,O,O
on,O,O,O
AI.,O,O,O
Following,O,O,O
concerns,O,O,O
raised,O,O,O
by,O,O,O
AI,O,O,O
experts,O,O,O
about,O,O,O
the,O,O,O
existential,O,O,O
risks,O,O,O
AI,O,O,O
poses,O,O,O
on,O,O,O
"humanity,",O,O,O
in,O,O,O
May,B-Date,B,B
2023,I-Date,I,I
Bengio,O,O,O
stated,O,O,O
in,O,O,O
an,O,O,O
interview,O,O,O
to,O,O,O
BBC,O,O,O
that,O,O,O
he,O,O,O
felt,O,O,O
"""lost""",O,O,O
over,O,O,O
his,O,O,O
life's,O,O,O
work.,O,O,O
He,O,O,O
raised,O,O,O
his,O,O,O
concern,O,O,O
about,O,O,O
"""bad",O,O,O
"actors""",O,O,O
getting,O,O,O
hold,O,O,O
of,O,O,O
"AI,",O,O,O
especially,O,O,O
as,O,O,O
it,O,O,O
becomes,O,O,O
more,O,O,O
sophisticated,O,O,O
and,O,O,O
powerful.,O,O,O
He,O,O,O
called,O,O,O
for,O,O,O
better,O,O,O
"regulation,",O,O,O
product,O,O,O
"registration,",O,O,O
ethical,O,O,O
"training,",O,O,O
and,O,O,O
more,O,O,O
involvement,O,O,O
from,O,O,O
governments,O,O,O
in,O,O,O
tracking,O,O,O
and,O,O,O
auditing,O,O,O
AI,O,O,O
products.,O,O,O
Speaking,O,O,O
with,O,O,O
the,O,O,O
Financial,O,O,O
Times,O,O,O
also,O,O,O
in,O,O,O
May,B-Date,B,B
2023,I-Date,I,I
Bengio,O,O,O
said,O,O,O
that,O,O,O
he,O,O,O
supported,O,O,O
the,O,O,O
monitoring,O,O,O
of,O,O,O
access,O,O,O
to,O,O,O
AI,O,O,O
systems,O,O,O
such,O,O,O
as,O,O,O
ChatGPT,O,O,O
so,O,O,O
that,O,O,O
potentially,O,O,O
illegal,O,O,O
or,O,O,O
dangerous,O,O,O
uses,O,O,O
could,O,O,O
be,O,O,O
tracked.,O,O,O
Awards,O,O,O
and,O,O,O
honours.,O,O,O
In,O,O,O
2017,B-Date,B,B
Bengio,O,O,O
was,O,O,O
named,O,O,O
an,O,O,O
Officer,O,O,O
of,O,O,O
the,O,O,O
Order,O,O,O
of,O,O,O
Canada.,O,O,O
The,O,O,O
same,O,O,O
"year,",O,B,O
he,O,O,O
was,O,O,O
nominated,O,O,O
Fellow,O,O,O
of,O,O,O
the,O,O,O
Royal,O,O,O
Society,O,O,O
of,O,O,O
Canada,O,O,O
and,O,O,O
received,O,O,O
the,O,O,O
Marie-Victorin,O,O,O
Quebec,O,O,O
Prize.,O,O,O
Together,O,O,O
with,O,O,O
Geoffrey,O,O,O
Hinton,O,O,O
and,O,O,O
Yann,O,O,O
"LeCun,",O,O,O
Bengio,O,O,O
won,O,O,O
the,O,O,O
2018,B-Date,B,B
Turing,O,O,O
Award.,O,O,O
In,O,O,O
2020,B-Date,B,B
he,O,O,O
was,O,O,O
elected,O,O,O
a,O,O,O
Fellow,O,O,O
of,O,O,O
the,O,O,O
Royal,O,O,O
Society.,O,O,O
In,O,O,O
2022,B-Date,B,B
he,O,O,O
received,O,O,O
the,O,O,O
Princess,O,O,O
of,O,O,O
Asturias,O,O,O
Award,O,O,O
in,O,O,O
the,O,O,O
category,O,O,O
"""Scientific",O,O,O
"Research""",O,O,O
with,O,O,O
his,O,O,O
peers,O,O,O
Yann,O,O,O
"LeCun,",O,O,O
Geoffrey,O,O,O
Hinton,O,O,O
and,O,O,O
Demis,O,O,O
Hassabis.,O,O,O
In,O,O,O
2023,B-Date,B,B
Bengio,O,O,O
was,O,O,O
appointed,O,O,O
Knight,O,O,O
of,O,O,O
the,O,O,O
Legion,O,O,O
of,O,O,O
"Honour,",O,O,O
France's,O,O,O
highest,O,O,O
order,O,O,O
of,O,O,O
merit.,O,O,O
Text,O,O,O
from,O,O,O
"https://en.wikipedia.org/wiki/Yoshua_Bengio,",O,O,O
adapted,O,O,O
by,O,O,O
the,O,O,O
teaching,O,O,O
team.,O,O,O